     BZÖ EUAUS FPÖ FRANK GRÜNE KPÖ Plus NEOS ÖVP PILZ SPÖ STRONACH
  1    2     1  15     1     1        0    0   5    0   2       12
  2    4     0  58     1    12        0    2  20    0  19        1
  3    2     0  13     1    13        0   14   7    0  45        2
  4    2     0  18     2     9        0    3  31    0  27        2
  5    1     0   1     0     0        0    0 117    0   0        0
  6    2     0  18     2     4        0    1   6    0  44        0
  7   11     0  37     2     2        0    1  14    0   5        0
  8    2     0  26     5    26        0   10  15    4  24        0
  9    0     0   6     2     3        0    5   5    1  24        0
  10   0     0   2     0     1        0    0   1    0  46        0
  11   2     0   3     1    23        1   10  11    0  87        0
  12   0     0  17     3     1        0    1  21    0   5        0
  13   1     0   2     0     1        0   59   0    0   3        0
  14   0     0   9     2     2        0    1  11    0   1        0
  15   0     0   3     0     9        0    1   4    2  11        1
  16   0     0  10     2     0        0    2  14    0  54        0
  17   0     0  27     3     7        0    7  29    1  17        2
  18   4     0  11     2     8        0    3   8    0  23        0
  19   4     0  18    14    23        1   14   6    1  18        0
  20   0     0   1     1     0        0    0   1    0 109        0
  21   0     0   1     0     0        0    2  47    0   4        0
  22   1     0  27     1     7        0    0  15    0  31        2
  23   0     0   4     0    13        2    3  15    0  43        0
  24   1     0  16     5    17        0    5   6    0  10        2
  25   1     0  23     2     4        0    1   7    0  19        1
  26   0     0   7     1     7        0    4   3    0  23        0
  27   0     0  21     1     4        0    4   7    0  14        1
  28   1     0  22     2    13        4    0   1    3   7        2
  29   1     0   1     0     7        0    6   1   17   6        0
  30   5     0  14     0    11        0    1   9    1  26        2
  31  43     0   8    24     1        1    0   2    0   0        0
  32   0     0 100     0     2        0    0   0    0  11        0
  33   1     0  49     2     6        0    5   6    0  20        0
  34   1     0  17     7    18        3    7  15    2  33        0
  35   1     0  13     2     7        0    1  13    1  36        0
  36   0     0   4     0    10        4    0  53    0  10        0
  37   0     0   5     0    45        0    1   3    0  12        0
  38   1     0  40     4    13        0    5  16    0  53        0
  39   2     0  13     0     0        0    0  16    0   2        0
  40   2     1  17     2     8        0    0  14    0  19        0
  41   2     0  89     2     7        0    2  13    0   7        1
  42   0     0  20     1     8        0    5  12    1  10        2
  43   0     0   4     0     3        0    1   5    0  32        0
  44   0     0   1     0     4        0    1  43    0   6        0
  45   0     0   9     1     1        0    3  89    0  19        0
  46   1     0   6     4    14        0   12  19    6  26        0
  47  18     0  35     4     0        0    3   4    0   7        7
  48   0     0  24     0     6        1    1   6    4  10        0
  49   5     0   3     6     4        0   19  15    0  14        1
  50   1     0  18     1     6        0    4  11    1  14        0
  51   1     0   8     4     5        0    0   1    0   0        1
  52   0     0   4     0     5        1    9  20    0   9        0
  53   2     0   9     1    35        0    1   6    1  11        0
  54   1     0  14     0    22        0    0  18    0  12        0
  55   0     0  32     1     7        0    1  14    1  21        0
  56   1     0   8     4     9        0   22  19    0  23        4
  57   0     0   7     0     5        0    1  23    0  51        0
  58   2     0   6     1    12        0   26  21    0  13        0
  59   2     0  26     3    14        0    7  28    0  22        1
  60   0     0   1     0     0        0    0   0    0   2        0
